no,area,genre,name,is_large_store,ticket_type,map_query
697,横川,サービス,あいら農業協同組合 横川購買店舗,False,全券利用可（14枚）,あいら農業協同組合 横川購買店舗 霧島市 横川
698,横川,その他,有光,False,全券利用可（14枚）,有光 霧島市 横川
699,横川,スーパー・食品,古賀酒店,False,全券利用可（14枚）,古賀酒店 霧島市 横川
700,横川,その他,コッコ屋 横川店,False,全券利用可（14枚）,コッコ屋 横川店 霧島市 横川
701,横川,車・バイク・ガソリン,栄車輌整備工場,False,全券利用可（14枚）,栄車輌整備工場 霧島市 横川
702,横川,美容・理容,鮫島理美容,False,全券利用可（14枚）,鮫島理美容 霧島市 横川
703,横川,車・バイク・ガソリン,下島自動車,False,全券利用可（14枚）,下島自動車 霧島市 横川
704,横川,衣料・靴・メガネ,シューズショップさきもと,False,全券利用可（14枚）,シューズショップさきもと 霧島市 横川
705,横川,コンビニ,セブンイレブン 霧島横川店,False,全券利用可（14枚）,セブンイレブン 霧島横川店 霧島市 横川
706,横川,スーパー・食品,竹下青果,False,全券利用可（14枚）,竹下青果 霧島市 横川
707,横川,車・バイク・ガソリン,土佐屋 かごしま空港３６カントリークラブ,False,全券利用可（14枚）,土佐屋 かごしま空港３６カントリークラブ 霧島市 横川
708,横川,サービス,白陽舎ドライ,False,全券利用可（14枚）,白陽舎ドライ 霧島市 横川
709,横川,サービス,早渕商店,False,全券利用可（14枚）,早渕商店 霧島市 横川
710,横川,コンビニ,ファミリーマート 横川インター店,False,全券利用可（14枚）,ファミリーマート 横川インター店 霧島市 横川
711,横川,サービス,森山センター,False,全券利用可（14枚）,森山センター 霧島市 横川
712,横川,飲食店,横川カレー食堂,False,全券利用可（14枚）,横川カレー食堂 霧島市 横川
713,横川,美容・理容,横川化粧品店,False,全券利用可（14枚）,横川化粧品店 霧島市 横川
714,横川,車・バイク・ガソリン,横川自動車,False,全券利用可（14枚）,横川自動車 霧島市 横川
715,横川,車・バイク・ガソリン,横川石油,False,全券利用可（14枚）,横川石油 霧島市 横川
716,牧園,サービス,あいら農業協同組合 牧園購買店舗,False,全券利用可（14枚）,あいら農業協同組合 牧園購買店舗 霧島市 牧園
717,牧園,その他,マイライフオオニワ,False,全券利用可（14枚）,マイライフオオニワ 霧島市 牧園
718,牧園,サービス,阿久井商店,False,全券利用可（14枚）,阿久井商店 霧島市 牧園
719,牧園,宿泊・温泉,安楽温泉 朱峰,False,全券利用可（14枚）,安楽温泉 朱峰 霧島市 牧園
